State/UTs,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,618368,310369,307999,399001
Andhra Pradesh,83193584,40573189,42620395,91702478
Arunachal Pradesh,1558893,848882,710011,1711947
Assam,41852875,22445358,19407517,35998752
Bihar,114711834,61751283,52960551,128500364
Chandigarh,1962733,1083616,879117,1158040
Chhattisgarh,35387261,18623581,16763680,32199722
Dadra and Nagar Haveli and Daman and Diu,1306211,725623,580588,773997
Delhi,29955789,16436724,13519065,19301096
Goa,2542473,1346574,1195899,1521992
Gujarat,96738313,49118500,47619813,70400153
Haryana,39671407,21845044,17826363,28900667
Himachal Pradesh,11676499,6008482,5668017,7503010
Jammu and Kashmir,20038468,9920528,10117940,14999397
Jharkhand,35738735,21085989,14652746,40100376
Karnataka,97089583,49782639,47306944,69599762
Kerala,50257886,26933891,23323995,34698876
Ladakh,400330,218460,181870,290492
Lakshadweep,111520,56692,54828,66001
Madhya Pradesh,106655923,53905724,52750199,85002417
Maharashtra,151652944,84077595,67575349,124904071
Manipur,2579783,1439702,1140081,3436948
Meghalaya,2297536,1319104,978432,3772103
Mizoram,1414139,777387,636752,1308967
Nagaland,1474530,829698,644832,2073074
Odisha,58688145,31074192,27613953,47099270
Puducherry,1529393,890134,639259,1646050
Punjab,38740094,21979751,16760343,30501026
Rajasthan,93940725,50735893,43204832,79502477
Sikkim,1037656,537703,499953,658019
Tamil Nadu,97151632,53987793,43163839,83697770
Telangana,56843698,29385483,27458215,38157311
Tripura,4853342,2638579,2214763,4184959
Uttar Pradesh,275638024,152644244,122993780,231502578
Uttarakhand,15844186,8123818,7720368,11700099
West Bengal,125596796,66914417,58682379,100896618
